Ingredient,Website,Value
"1,10-Decanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=940af697-52b5-4a3a-90a6-b9db30ef4a7e,"https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1,10-Decanediol"
"1,2,4-Trihydroxybenzene",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=5d55d919-245e-ee11-be6f-00224824e39e,"https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1,2,4-Trihydroxybenzene"
"1,2-Butanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=7bf5d549-ac99-4282-a85f-603d8ecb185e,
"1,2-Hexanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=73f09bf1-26dd-4c2b-96f2-59e4285a3b2b,
"1,4-Butanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=ed04f7c6-4dde-4fe4-8ece-df05e25feecc,
"1,4-Butanediol/Succinic Acid/Adipic Acid/HDI Copolymer",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=391468f9-9993-47ff-a4ec-163d6b451e65,
"1,5-Pentanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=14283e30-c75a-47fb-bbb8-4291ecde468f,
10-Hydroxydecanoic Acid,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0f6c7436-9053-41e4-bd31-7f2ddbfc66ce,
10-Hydroxystearic Acid,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=e1a8f9e1-6aac-433d-a048-2c3a1061e97f,
"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9e6bed57-49b8-4695-8eb7-44393eaf0252,
1-Naphthol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9e047ec9-237a-ec11-8d21-0022482fd227,
1-Naphthol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=bd2514df-50d0-4e03-808f-7eebaed140ed,
"2,3-Butanediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=ebf333ff-4031-4547-a832-4b98c2a3d386,
"2,3-Naphthalenediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=03e8b18d-54a7-407c-a9bd-7762b7743d67,
"2,3-Naphthalenediol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=461eebd7-ebf4-44e6-ad6d-82b0162a0fa3,
"2,4-Diaminophenol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=89047ec9-237a-ec11-8d21-0022482fd227,
"2,4-Diaminophenol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=f910b683-dd8f-4c4b-aed4-6bf7b23e92c1,
"2,4-Diaminophenol Dihydrochloride",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=fb4e11dd-5cfd-4c78-96ff-f0918920fc69,
"2,4-Diaminophenol HCl",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8a047ec9-237a-ec11-8d21-0022482fd227,
"2,4-Diaminophenoxyethanol Dihydrochloride",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=668d2501-3f7f-4bb7-844c-442e511dae92,
"2,4-Diaminophenoxyethanol HCl",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9b2e0890-56f5-42dd-a488-a3780a93027e,
"2,4-Diaminophenoxyethanol Sulfate",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=0c4e3782-5c83-42a3-8abe-425968594efc,
2-Amino-3-Hydroxypyridine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=23dc2b3d-2d85-46c5-94ae-c311fcc6c6e2,
2-Amino-3-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1b515eb4-7a2d-4ab6-8665-ceb0fadd5348,
2-Amino-4-Hydroxyethylaminoanisole,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=23efee15-ac8c-437f-a56e-8fa646f2e985,
2-Amino-4-Hydroxyethylaminoanisole Sulfate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=baae8a82-cf0c-4654-8051-d87b2fc08c3a,
2-Amino-4-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=52eee821-092a-4a3d-9289-bc8757e609a5,
2-Amino-4-Nitrophenol Sulfate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=290b7d53-ab07-4921-bea8-1b0a917e2f7a,
2-Amino-5-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=9df8e38c-ba50-4d72-a1c3-49d36257fc4c,
2-Amino-6-Chloro-4-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=f8f53e9d-9778-ec11-8d21-000d3a991547,
2-Amino-6-Chloro-4-Nitrophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=64d4e0cc-257a-425f-8ad7-14bb99a4c313,
2-Amino-6-Chloro-4-Nitrophenol Hydrochloride,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=cc4914b4-29c6-4f50-a170-948f1b874969,
"2-Bromo-2-Nitropropane-1,3-Diol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=7e75d9ea-c67a-ec11-8d21-000d3a991547,
"2-Bromo-2-Nitropropane-1,3-Diol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=1e73d422-e77e-4e3d-bfe8-5a01d665f4d5,
"2-Bromo-2-Nitropropane-1,3-Diol",https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=a31dbe78-2717-48d6-afa9-b9caf766c703,
2-Chloro-p-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=93047ec9-237a-ec11-8d21-0022482fd227,
2-Chloro-p-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=ba2fa198-c9fd-4f43-8958-a95bef451247,
2-Chloro-p-Phenylenediamine Sulfate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=94047ec9-237a-ec11-8d21-0022482fd227,
2-Chloro-p-Phenylenediamine Sulfate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=50645e55-5d33-44d7-ba07-c88e69accc1e,
2-Ethoxy ethoxy ethyl methacrylate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c2e8f24f-d285-ec11-8d21-000d3a98a506,
2-Ethoxy ethoxy ethyl methacrylate,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=450575ed-4bf3-4f01-a5d1-e6d67a4070d8,
2-Methoxyethanol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=3a222a6f-9948-4aa2-88f3-e730210fdc7f,
2-Methyl-5-Hydroxyethylaminophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=32a76795-3a7a-ec11-8d21-0022482fd227,
2-Methyl-5-Hydroxyethylaminophenol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=c897ee88-0edc-4021-9477-837e07bcd6fe,
2-Methylresorcinol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=30a76795-3a7a-ec11-8d21-0022482fd227,
2-Methylresorcinol,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=d5bbd521-b4d5-4690-8fc6-e9d0ab8380b1,
2-Nitro-p-Phenylenediamine,https://cir-reports.cir-safety.org/cir-ingredient-status-report/?id=8c75d9ea-c67a-ec11-8d21-000d3a991547,
