Substance,Type,Valore,Context
(-)-Hyoscyamine and (-)-Scopolamine group,NOAEL '=,1500.0 µg/kg,2013 Not reported Pig not reported not reported not reported;
(-)-Hyoscyamine and (-)-Scopolamine group,NOAEL '=,0.16 µg/kg bw,2013 Not reported Human study with volunteers clinical signs systemic;
(-)-Hyoscyamine and (-)-Scopolamine group,NOAEL '=,0.16 µg/kg bw,2022 Not reported Human study with volunteers clinical signs systemic;
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,NOAEL '=,150.0 mg/kg bw/day,2011 Not reported Rat acute toxicity not reported neurotoxicity;
({2-[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino]-2-oxoethyl}sulfinyl)acetic acid,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity histopathology non neoplastic systemic;
(E)-2-Methyl-1-methylthio-2-butene,NOAEL '=,250.0 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
(E)-2-Methyl-1-methylthio-2-butene,NOAEL '=,250.0 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
(E)-8-Dodecenyl Acetate,LD50 >,5000.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,LD50 >,2000.0 mg/kg bw,2014 oral: unspecified Bird acute toxicity mortality systemic;
(E/Z)-8-Dodecenyl Acetate and (Z)-8-Dodecenol mixture,LD50 >,5050.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(S)-1-Methoxy-3-heptanethiol,NOAEL '=,0.06 mg/kg bw/day,2011 oral: unspecified Rat subchronic not reported not reported;
(S)-1-Methoxy-3-heptanethiol,NOAEL '=,0.06 mg/kg bw/day,2014 oral: unspecified Rat subchronic not reported not reported;
(S)-Methyl octanethioate,NOAEL '=,6.63 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
(S)-Methyl octanethioate,NOAEL '=,6.63 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
(S)-Methyl octanethioate,NOAEL '=,6.63 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
(S)-Methyl octanethioate,NOAEL '=,6.63 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
(S)-Methyl octanethioate,NOAEL '=,6.63 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
(Z)-11-Hexadecenal,LD50 >,2250.0 mg/kg bw,2014 oral: unspecified Bird acute toxicity mortality systemic;
(Z)-11-Hexadecenal,LD50 >,5000.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(Z)-11-Tetradecenyl Acetate,LD50 >,5000.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(Z)-9-Dodecenyl Acetate,LD50 >,5000.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(Z)-9-Tetradecenyl Acetate,LD50 >,5000.0 mg/kg bw,2014 oral: unspecified Rat acute toxicity mortality systemic;
(Z)-Hept-4-enal,NOAEL '=,127.0 mg/kg bw/day,2016 oral: drinking water Rat subchronic other systemic;
(Z)-Nerol,NOAEL '=,345.0 mg/kg bw/day,2016 oral: feed Rat subchronic histopathology non neoplastic nephrotoxicity;
(Z)-Non-6-en-1-ol,NOAEL '=,127.0 mg/kg bw/day,2016 oral: drinking water Rat subchronic other systemic;
[(6-Ethyl-3-hydroxy-2-methylphenyl)amino](oxo)acetic acid,NOAEL '=,150.0 mg/kg bw/day,2011 Not reported Rat acute toxicity not reported neurotoxicity;
[(6-Ethyl-3-hydroxy-2-methylphenyl)amino](oxo)acetic acid,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity histopathology non neoplastic systemic;
[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino](oxo)acetic acid,NOAEL '=,150.0 mg/kg bw/day,2011 Not reported Rat acute toxicity not reported neurotoxicity;
[(Ethoxymethyl)(2-ethyl-6-methylphenyl)amino](oxo)acetic acid,NOAEL '=,2.0 mg/kg bw/day,2011 oral: unspecified Dog chronic/long term toxicity histopathology non neoplastic systemic;
1-(2-Furfurylthio)propanone,NOAEL '=,3.0 mg/kg bw/day,2010 oral: gavage Rat subchronic organ weights systemic;
1-(2-Furfurylthio)propanone,NOAEL '=,3.76 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2010 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2011 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)ethane-1-thiol,NOAEL '=,0.06 mg/kg bw/day,2012 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2009 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2010 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2011 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
1-(Methylthio)pentan-3-one,NOAEL '=,250.0 mg/kg bw/day,2012 oral: gavage Rat subchronic no adverse effect observed at single/highest dose;
1-Acetylindole,NOAEL '=,50.0 mg/kg bw,2006 oral: feed Rat subchronic no adverse effect observed at single/highest dose;
1-Acetylindole,NOAEL '=,50.0 mg/kg bw/day,2008 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
1-Acetylindole,NOAEL '=,50.0 mg/kg bw/day,2013 oral: feed Rat chronic/long term toxicity no adverse effect observed at single/highest dose;
1-Benzyloxy-1-(2-methoxyethoxy)ethane,NOAEL '=,6.0 mg/kg bw/day,2011 Not reported Rat chronic/long term toxicity not reported not reported;
1-Decanol,LD50 >,13.8 µg/piece,2010 dermal Honey bee acute toxicity mortality;
1-Decanol,LD50 >,4640.0 mg/kg bw/day,2010 oral: unspecified Mallard duck acute toxicity mortality systemic;
1-Decanol,LD50 '=,4720.0 mg/kg bw/day,2010 oral: unspecified Rat acute toxicity mortality systemic;
1-Decanol,NOAEL '=,1000.0 mg/kg bw/day,2010 Not reported Rat reproduction toxicity no adverse effect observed at single/highest dose;
1-Furfurylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2015 oral: feed Rat subchronic haematology hepatotoxicity;
1-Furfurylpyrrole,NOAEL '=,25.0 mg/kg bw/day,2018 oral: feed Rat subchronic haematology hepatotoxicity;
1-Isopropenyl-4-methylbenzene,NOAEL '=,0.625 mg/kg bw/day,2009 Not reported Rat subchronic not reported not reported;
1-Isopropenyl-4-methylbenzene,NOAEL '=,0.625 mg/kg bw/day,2011 Not reported Rat subchronic not reported not reported;
1-Isopropenyl-4-methylbenzene,NOAEL '=,0.625 mg/kg bw/day,2015 Not reported Rat subchronic not reported not reported;
1-Isopropyl-4-methylbenzene,NOAEL '=,154.0 mg/kg bw/day,2015 oral: gavage Rat chronic/long term toxicity organ weights nephrotoxicity;
1-Methoxy-4-methylbenzene,NOAEL '=,100.0 mg/kg bw/day,2012 oral: gavage Rat short-term toxicity organ weights systemic;
1-Methyl-3-trifluoromethyl-1H-pyrazole-4-carboxylic acid,NOAEL '=,75.0 mg/kg bw/day,2013 Not reported Rabbit reproduction toxicity development developmental;
1-Methyl-3-trifluoromethyl-1H-pyrazole-4-carboxylic acid,NOAEL '=,11.0 mg/kg bw/day,2013 Not reported Rat reproduction toxicity body weight systemic;
